code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,registerType,sector,structure,subnationalCoverage,url
PS-MOI,"The Palestine Ministry of Interior provide a registration list of NGOs, divided by province and responsible ministry. 
",,,"HB-4157-C, JN-8179-C","Use the filters to locate the organisation you wish to identify. The identifier will be given in the 'Registration number' column.

This will consist of letters, numbers, and dashes.

The numbers may be displayed as eastern arabic numerals. When copied and pasted these should convert to western arabic numerals, and should always be entered into a database using western arabic numerals.",ar,A simple filter by province and Ministry of Jurisdiction exists on the Ministry of Interior website.,http://www.moi.pna.ps/NGOs/List,True,PS,,,,© 2017 - Palestinian Interior Ministry,,False,,,,secondary,2017-06-25,IATI Submission,Ministry of Interior (Palestine),وزارة الـداخـلـيــة,50,,,,,,,,,,,,,,50,,,charity,,http://www.moi.pna.ps/NGOs/List
IE-CRO,"The Companies Registration Office of Ireland is responsible for the incorporation of business operating in Ireland and maintaining an online database of the information. Data is provided for free and also for a fee, depending on the amount/type requested.

""The CRO has a number of core functions:

* The incorporation of companies and the registration of business names.
* The receipt and registration of post incorporation documents.
* The enforcement of the Companies Act 2014  in relation to the filing obligations of companies.
* Making information available to the public."" [1]

[1] https://www.cro.ie/About-CRO/Functions-of-the-CRO",,False,"123260, 83424, 549061","Users can find identifiers by using this simple, searchable database - https://search.cro.ie/company/

The identifiers are under the column heading 'Number'",,"Data is available, for free, through simple webpage search, and RESTful API (sign up required for latter). Specific company documents and bulk data consisting of information and/or document images of all companies also available for annual fee","https://search.cro.ie/company/ , https://services.cro.ie/index.aspx, https://www.cro.ie/Publications/Fees/Bulk-Data",True,IE,"bulk_download, api, html",,"organisation_type, organisation_name, registration_number, registered_address, date_of_registration, status",https://opencorporates.com/registers/118,closed_license,,,http://opencorporates.com/companies/ie,,primary,2016-11-24,Desk research,Irish CompaniesRegistration Office,,77,2,,,,,,,,0,,,,75,,,,company,,http://www.cro.ie/
AU-ACNC,"""In Australia, charities must register with the Australian Charities and Not-for-profits Commission (ACNC) before they can receive charity tax concessions from the Australian Taxation Office (ATO).""

Charity Status can be applied to organisations that have an Australian Business Number (ABN) and that take a range of legal forms [1] including Australian Private Company, Australian Public Company, State level registered 'Other Incorporated Entity', Discretionary Investment Trust, Fixed Trusts, Co-operatives and Other Unincorporated Identities. 

[1]: http://www.acnc.gov.au/ACNC/Register_my_charity/Who_can_register/Legal_structure/ACNC/Reg/Legal_structure.aspx",,False,,,,,,True,AU,,,,,,,,,,secondary,2016-09-06,Primary research,Australian Charities and Not-for-profits Commission,,50,,,,,,,,,,,,,,50,,,charity,,http://www.acnc.gov.au/ACNC/
HK-CR,"All businesses operating in Hong Kong, including non-Hong Kong businesses with a place of business in Hong Kong must register with the Companies Register. 

This includes Sole-proprietorship, Partnership and Unincorporated body of persons, Non-Hong Kong company, and Branch business, as well as companies incorporated under the Companies Ordinance. 

Businesses are issued with a registration certificate that is valid for three years, and which can be renewed. ",,True,"2524613,  F0002727","Enter the search system, and search by name or company particulars. 

The identifier is given in the CR No. column of the results. ",", en, zh",,https://www.icris.cr.gov.hk/csci/,True,HK,data_not_available,,"directors_trustees_governors, akas, date_of_registration, registration_number, status",,closed_license,False,,,,primary,2017-06-25,Desk research,Hong Kong Companies Register,,75,,,,,,,,,0,,,,75,,,,"company, unincorporated_body",,https://www.icris.cr.gov.hk/csci/
SE-KK,"A Swedish administrative authority under the Ministry of Finance, which is responsible for the registration of religious communities and organisational units of religious communities. ",,False,,Ask an organisation for it's registration number as issued by Kammarkollegiet. ,se,,,True,SE,data_not_available,,,,no_license,False,,,,secondary,2017-08-05,IATI,"Legal, Financial and Administrative Services Agency (Sweden)",Kammarkollegiet,55,,,,,,,,,,5,,,,50,,,"charity, unincorporated_body",,https://www.kammarkollegiet.se/
AU-ABN,"""The Australian Business Number (ABN) enables businesses in Australia to deal with a range of government departments and agencies using a single identification number. The ABN is a public number which does not replace an organisations tax file number.""

""ABN registration details become part of the Australian Business Register (ABR)""

Each ABN should equate to a single 'business structure', although that structure may be used to carry out a range of business activities.  A range of kinds of entity are issued ABNs, including individuals, corporations, partnerships, unincorporated associations, trusts and superannuation funds. Entities must be carrying on a business in or connection to Australia to receive an ABN.",,False,52093617380,"It is possible to search for identifiers at http://abr.business.gov.au/

The Australian Business Number (ABN) is a unique 11 digit identifier issued to all entities registered in the Australian Business Register (ABR). The 11 digit ABN is structured as a 9 digit identifier with two 
leading check digits.

The identifiers are displayed on the website with spaces in the number. All the spaces should be removed when making use of the number within an identifier.",en,,,True,AU,"bulk_download, api","Bulk downloads are provided at http://data.gov.au/dataset/abn-bulk-extract in XML format, and an API is provided at http://abr.business.gov.au/Webservices.aspx","akas, date_of_registration",https://creativecommons.org/licenses/by/3.0/au/,open_license,,,,,secondary,2016-09-02,IATI + Additional Reseach,Australian Business Register,,62,2,,,,,,,,,,10,,,50,,,"unincorporated_body, trust, company, charity",,http://abr.business.gov.au/
GG-RCE,"All companies in Guernsey must register with the Guernsey Registry. This also applies to most charities and NPOs. The Guernsey Registry maintain a registry of all companies, charities and all NPOs in Guernsey. These are recorded in a publicly searchable webpage database for companies and also two separate lists for charities and NPOs.

Please Note: According to OpenCorporates, the identifiers are not unique across the Guernsey Registry, as there a five separate registries that can be assigned to organisation information and up to five companies my have the same identifier. OC have thus added their own identifier number based on each registry type. Further details available here - qa_public/register_problems/guernsey

""All Guernsey companies must file an Annual Validation submission with the Registry during January 2017 (unless incorporated in December 2016). Submissions received after 31 January 2017 will be subject to a £100 late filing fee."" [1]

""The Charities and Non Profit Organisation (Registration) (Guernsey) Law, 2008 requires all Non Profit organisations based in the Islands of Guernsey, Alderney, Herm and Jethou to register with the Office of the Registrar. A failure to do so is an offence.

However there is an exemption from this requirement. This applies to Non Profit organisations based in the Islands of Guernsey, Alderney, Herm and Jethou with gross assets and funds of less than £10,000, or gross annual income of less than £5,000."" [2]

[1] http://www.guernseyregistry.com/
[2] http://www.guernseyregistry.com/article/112911/Do-I-need-to-register-a-Charity-or-Non-Profit-organisation-",,False,"Companies - 56234, 14392, 28419 / Charities - CH1, CH144, CH545 / NPOs - NP3, NP126, NP219","For Companies:

Users can find identifiers using the simple, searchable database - https://www.greg.gg/webCompSearch.aspx

The identifier will be under the column heading 'Entity Reg Number' on the results returned, and if the user clicks on document icon to the left, more details will be shown. The identifier will be shown next to 'Company Reg Number'

For Charities and NPOs:

Users can scroll down the two public lists to search for an organisation, or they can use 'Ctrl-F' to search for a name. The identifier can be found in the left hand column under the header 'Number'

OIPA search returns zero results",en,"Data for companies available in a free, simple search. Further details and documents can be requested at a fee. Users can search for a charity or NPO and then download a PDF of the charity/NPO statement",Companies - https://www.greg.gg/webCompSearch.aspx Charities - http://www.guernseyregistry.com/article/112909/Charities-Register NPOs - http://www.guernseyregistry.com/article/112771/NPO-Register,True,GG,"pdf, html",,"registered_address, organisation_type, organisation_name, registration_number, status, date_of_registration, akas",https://opencorporates.com/registers/298,closed_license,,,http://opencorporates.com/companies/gg,,primary,2016-11-29,Desk research,Guernsey Registry,,76,,,,,,1,,,0,,,,75,,,,"company, charity",,"http://www.guernseyregistry.com/ , http://www.guernseyregistry.com/charities"
AR-CUIT,"Any citizen or company starting an economic activity in Argentina must register with the AFIP (Federal Administration of Public Revenues) and receive a Unique Tax Identification Code (CUIT). 

This is an 11 digit number, consisting two digits, hyphen, nine digits, and a one digit checksum. 
",,,"30-69330706-2, 30-70737344-6",Use a third-party service to search for identifiers. Identifiers can be verified at http://www.afip.gob.ar/futCont/,es,Third party search services such as https://www.dateas.com/es/consulta_cuit_cuil exist and provide name based search of CUIT (tax identifier) and CUIL (labour identifier).,http://www.afip.gob.ar/futCont/,True,AR,,,"industry_classifications, status",,no_license,False,,,,secondary,2017-06-26,Open Contracting,Unique Tax Identification Code (Argentina),Clave Única Identificación Tributaria (Argentina),55,,,,,,,,,,5,,,,50,,,"company, unincorporated_body",,
CA_SK-SKN,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,en,,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Saskatchewan Corporate Registry , Registre des sociétés,75,,,,,,,,,0,,,,75,,,,company,CA-SK,http://www.isc.ca/CorporateRegistry/
ET-MFA,"All charities wishing to operate in Ethiopia must register with the Ministry of Foreign Affairs (MFA). Details for how they register can be found in this document - http://mfa.gov.et/documents/10184/70245/NGO_Rule_English%5B1%5D%281%29.pdf/d20c730a-591e-4d3a-b9d8-a25aeb664904

Charities are registered but no openly searchable database yet available.",,False,Unable to find,Unable to find,"en, am",,Unable to find,True,ET,data_not_available,,,,,,,,,secondary,2016-11-23,Desk research,Ministry of Foreign Affairs,,50,,,,,,,,,,,,,,50,,,charity,,http://www.mfa.gov.et/
BE-BCE_KBO,"The Crossroads Bank for Enterprises (BCE, ECB, CBE) is the registration office for companies in Belgium. The ECB compiles a list of business identification numbers, maintains the database and provides the list in an available format.

""The following companies must register with the ECB:

1. legal persons under Belgian law
2. institutions, organizations and Belgian law services which perform tasks of general interest or related to public order and that have a distinct financial and accounting autonomy from that of the legal person under Belgian public law governing them;
3. legal persons of foreign or international law which have a seat in Belgium or who are required to register pursuant to an obligation imposed by Belgian law;
4. to any individual as an autonomous entity: 
a) carries on an economic and professional activity in Belgium, as usual, the main or supplementary basis; 
b) or must register in fulfillment of an obligation imposed by legislation Belgium other than that covered by this Act;
5. associations without legal personality must be registered pursuant to an obligation imposed by Belgian legislation other than that covered by this Act;
6. the establishment of units of the above mentioned companies."" [3]

""The Crossroads Bank for Enterprises (BCE) is a register of the Ministry of Economy which includes all the companies basic identification data and their business units. The ECB's management department is responsible for recording, backup, manage and make available data from the ECB. The ECB is one of the authority for initiatives, application of the principle of single data collection, to simplify administrative procedures for businesses and improve the efficiency of public services."" [1]

""It centralises the basic identification data of enterprises and establishment units and communicate them to the various authorities. The ECB gives each company and business unit a unique identification number that allows the authorities to exchange information about them."" [2]

[1][2] http://economie.fgov.be/fr/entreprises/BCE/#.WC9BdqIrL8o
[3] http://economie.fgov.be/fr/entreprises/BCE/inscription/#.WC9BAqIrL8o",,False,"0521.749.439, 0518.884.078, 0505.665.156","Company information is available in various search methods - by number, by name, by activity, by license or by address -  http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?lang=en&nummer=&actionLu=Research","en, fr, de, nl",Bulk access is only available for a fee http://economie.fgov.be/fr/entreprises/BCE/pub/reutilisation/,http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?lang=en&nummer=&actionLu=Research,True,BE,pdf,"Data can be search using a number of terms. Lists of results can be downloaded as a PDF. Information on individual enterprises can be viewed, but no download feature seems to be available","registered_address, date_of_registration, organisation_name, registration_number, phone_number, status",,closed_license,,,http://opencorporates.com/companies/be,,primary,2016-11-18,Desk research,Crossroads Bank for Enterprises , Banque Carrefour des entreprises ,76,,,,,,1,,,0,,,,75,,,,"unincorporated_body, company, charity",,http://economie.fgov.be/fr/entreprises/BCE 
BJ-IFU,"The Benin 'Unique Fiscal Identifier' was created by Decree No 2006-201 of 8 May 2006, and is linked to a national directory of persons, institutions and associations.

""The IFU's main objective is:

* To uniquely register natural or legal persons throughout the national territory;
* To avoid assigning several identifiers (INSAE number, taxpayer number, declaring code, etc.) to the same person;
* Consolidate and secure information about any identified person;
* To establish a reliable database for information, cross-checking and management purposes;
* Improve and modernize the management of public finances with the introduction of a development tax system;""[1]

Identifiers are assigned to: ""

* Enterprises engaged in commercial or non-commercial activity in the territory of Benin, regardless of their form, legal status or nationality;
* Employees in the public or private sector;
* Corporate officers;
* Embassies, international organizations and non-governmental organizations;
* Landowners;
* Individuals over eighteen (18) years of age engaged in self-employed or non-commercial activities;
* Central government, public institutions and local authorities;
* Trade unions and political parties, any natural or legal person governed by private law""[1].

An IFU is 13 characters long. The first digit indicate the type of entity identified:

* 1- Individual / male 
* 2- Individual / female 
* 3- Legal entity / company 
* 4- Legal person / state structure 
* 5- Legal person / international organization and mission diplomatic 
* 6- Legal person / non-governmental organization

The subsequent 4 digits give the year. 

The next six digits are a unique identifier within that year.

The next digit indicates either (1) a parent company; (2-9) subsidiary or agencies; (0) other types of person or taxpayer.

The final digit is a checksum.


[1]: http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/



EXAMPLE: 3200901353510, ",,False,3200901353510,,fr,No online source for the register of assigned identifiers could be found. Sometimes searching for an organisation + 'IFU' can locate documents containing their IFU. ,,True,BJ,data_not_available,,,,no_license,False,,,,primary,2017-04-03,Primary research,Unique Tax Identifier,L’identifiant Fiscal Unique,80,,,,,,,,,,5,,,75,,,,"company, government_agency",,http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/
BW-CIPA,"The Companies and Intellectual Property Authority (CIPA) is the official register of businesses in Botwana under the Companies Act (CAP 42:01), which provides for the incorporation of companies and the Registration of Business Names Act (CAP 42:05), which provides for registration of business names and post registration notices such as change of ownership and cessation of businesses.

Both domestic and foreign companies may be registered with the Registrar of Companies. 

[1]: http://www.cipa.co.bw/
[2]: http://www.gov.bw/en/Business/Sub-audiences/Small--Medium-Businesses/Company--Business-Name-Registration/",,True,,Use the search at http://www.mtinamesearch.gov.bw/search/ or ask organizations for their company registration number. ,en,A name search is available at http://www.mtinamesearch.gov.bw/search/ but was not working when last tested.,,True,BW,data_not_available,,,Access to the company name search is only possible following a disclaimer. ,closed_license,False,,,,primary,2017-08-05,IATI,Companies and Intellectual Property Authority (Botswana),,75,,,,,,,,,0,,,,75,,,,company,,http://www.cipa.co.bw/
SE-BLV,"The Swedish Companies Registration Office (Bolagsverket) registers all business operating in Sweden, except for sole traders. This registry is available to search online. All entities are given an organisation number that can be used as an identifer.

""All forms of business enterprise except for sole traders have to be registered with the Swedish Companies Registration Office before starting to operate."" [1]

[1] https://www.verksamt.se/en/web/international/starting/get-started-business-registration-and-tax",,False,"556698-6849, 769611-2163, 969698-3833","Users can find identifiers by using the simple, searchable database. This database is presented in Swedish.

In the search results, the identifiers can be found under the column heading 'Organisations-nummer' or 'Corporate registration number' in English.

",sv,Data available in online database. Default language is Swedish,https://www.verksamt.se/sok-foretagsnamn,True,SE,html,,"registration_number, organisation_name, objectives/purpose, status, organisation_type",https://opencorporates.com/registers/249,open_license,,,http://opencorporates.com/companies/se,,primary,2016-12-07,Desk research,Bolagsverket , Swedish Companies Registration Office,85,,,,,,,,,,,10,,75,,,,company,,http://www.bolagsverket.se/
MM-MHA,"The MHA assigns a registration number to each NGO - this number is time limited, for example 4 years, after which the registration is reviewed. 

There is no URL for the Ministry, nor is there a publicly available database of NGO information.",,False,,No identifiers returned on OIPA request,,,,True,MM,data_not_available,,,,no_license,,,,,secondary,2016-11-26,Desk research,Ministry of Home Affairs - Central Committee for the Registration and Supervision of Organisations,,55,,,,,,,,,,5,,,,50,,,charity,,
